Year,CHIRPS_Precipitation,Region
2019,1005.5459665954113,Greater Accra
2020,876.3003698656321,Greater Accra
2021,915.0957403182983,Greater Accra
2022,1002.2873936891556,Greater Accra
2023,1227.619718849659,Greater Accra
2024,960.6485507264733,Greater Accra
2000,59.17044639587402,Marsabit
2001,198.62126171588898,Marsabit
2002,228.31011819839478,Marsabit
2003,219.54875469207764,Marsabit
2004,240.04970037937164,Marsabit
2005,111.3963133096695,Marsabit
2006,274.52073991298676,Marsabit
2007,156.3486762046814,Marsabit
2008,155.2509467601776,Marsabit
2009,101.00640523433685,Marsabit
2010,151.2738260626793,Marsabit
2011,277.11683559417725,Marsabit
2012,245.43322455883026,Marsabit
2013,333.41110318899155,Marsabit
2014,156.4727259874344,Marsabit
2015,259.5282039642334,Marsabit
2016,202.26506686210632,Marsabit
2017,198.4576684832573,Marsabit
2018,361.6085714120418,Marsabit
2019,272.9534367918968,Marsabit
2020,313.08776112337364,Marsabit
2021,110.81764626502991,Marsabit
2022,196.2792811356485,Marsabit
2023,430.26796102523804,Marsabit
2024,239.41870195418596,Marsabit
2000,1546.707888841629,Dagana
2001,1386.436915397644,Dagana
2002,1322.2512723207474,Dagana
2003,1378.786464035511,Dagana
2004,1344.3929105997086,Dagana
2005,1425.854173898697,Dagana
2006,1205.399739742279,Dagana
2007,1497.9898216724396,Dagana
2008,1273.6529142856598,Dagana
2009,1809.1713811159134,Dagana
2010,1572.7981923818588,Dagana
2011,1136.1397457122803,Dagana
2012,1705.9123207330704,Dagana
2013,1377.2159168720245,Dagana
2014,1324.663428068161,Dagana
2015,1544.2485163211823,Dagana
2016,1364.6629180908203,Dagana
2017,1465.533004283905,Dagana
2018,1167.1299998760223,Dagana
2019,1213.2074126313519,Dagana
2020,1374.9587981940713,Dagana
2021,1273.2593075037003,Dagana
2022,1339.6062605977058,Dagana
2023,1172.9729099273682,Dagana
2024,1243.0821966528893,Dagana
2000,1314.4548290967941,Bangui
2001,1485.8287462890148,Bangui
2002,1318.295597076416,Bangui
2003,1317.3758207559586,Bangui
2004,1314.7875718474388,Bangui
2005,1522.6646506786346,Bangui
