Year,CHIRPS_Precipitation,Region
2021,1447.3488515019417,Lomami
2022,1480.992518754671,Lomami
2023,1429.530242368579,Lomami
2024,1329.6750729902942,Lomami
2000,1470.3227789998055,Kasai Central
2001,1387.9141234755516,Kasai Central
2002,1619.174947232008,Kasai Central
2003,1474.5276217609644,Kasai Central
2004,1507.7969179749489,Kasai Central
2005,1459.7612287402153,Kasai Central
2006,1506.153897255659,Kasai Central
2007,1447.7698882371187,Kasai Central
2008,1555.304113149643,Kasai Central
2009,1572.1725045442581,Kasai Central
2010,1451.3029126524925,Kasai Central
2011,1473.9763355106115,Kasai Central
2012,1588.6160922944546,Kasai Central
2013,1436.0459169745445,Kasai Central
2014,1540.379507780075,Kasai Central
2015,1487.306206882,Kasai Central
2016,1493.668251991272,Kasai Central
2017,1586.9998299479485,Kasai Central
2018,1659.681097507577,Kasai Central
2019,1698.9870536476374,Kasai Central
2020,1355.6137756910932,Kasai Central
2021,1471.3038131594658,Kasai Central
2022,1501.5488745800526,Kasai Central
2023,1568.1891393363476,Kasai Central
2024,1362.2982218801847,Kasai Central
